警告：动作测试功能未编写 tip1 -- ad03   ##点击动作测试发激活
警告：动作测试功能未编写 tip2 -- ad03   ##点击动作测试是否发加密
警告：动作测试功能未编写 tip8 -- 0b49 <name> 外后视镜加热 
警告：动作测试功能未编写 tip8 -- 0b49 <name> 外后视镜折/展 
警告：动作测试功能未编写 tip8 -- 0b49 <name> 外后视镜左/右 
警告：动作测试功能未编写 tip8 -- 0b49 <name> 外后视镜上/下 
警告：动作测试功能未编写 tip8 -- 0b49 <name> 外后视镜照脚灯 
警告：动作测试功能未编写 tip1 -- 0b3a
警告：动作测试功能未编写 tip2 -- 0b3a
警告：动作测试功能未编写 tip8 -- 0b3a <name> 左前车窗电机动作测试 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 音量增 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 音量减 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 上一频道 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 下一频道 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 音响控制 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 蓝牙 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 仪表确定 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 上翻页 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 下翻页 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 语音控制 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 前影像 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 后影像 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 左影像 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 右影像 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 全景影像 
警告：动作测试功能未编写 tip8 -- 0b4a <name> 多媒体菜单返回 
警告：动作测试功能未编写 tip1 -- 0b3f
警告：动作测试功能未编写 tip2 -- 0b3f
警告：动作测试功能未编写 tip5 -- 0b3f <name> 写入PM2.5基准值测试 
警告：动作测试功能未编写 tip8 -- 0b3f <name> 写入PM2.5基准值测试 
警告：动作测试功能未编写 tip1 -- 0b40
警告：动作测试功能未编写 tip2 -- 0b40
警告：动作测试功能未编写 tip8 -- 0b40 <name> 转向轴管柱上下角度调节测试 
警告：动作测试功能未编写 tip8 -- 0b40 <name> 转向轴管柱伸出缩回调节测试 
警告：动作测试功能未编写 tip1 -- 0b41
警告：动作测试功能未编写 tip2 -- 0b41
警告：动作测试功能未编写 tip8 -- 0b41 <name> 前雨刮电机测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 前雨刮速度变化测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 前洗涤电机测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 后除霜测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 远光灯测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 近光灯测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 前雾灯测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 小灯测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 昼行灯测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 喇叭测试 
警告：动作测试功能未编写 tip8 -- 0b41 <name> 报警测试 
警告：动作测试功能未编写 tip1 -- 0b42
警告：动作测试功能未编写 tip2 -- 0b42
警告：动作测试功能未编写 tip8 -- 0b42 <name> 座椅水平调节操作测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 座椅高度调节操作测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 座椅座盆调节操作测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 座椅靠背调节操作测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 蜂鸣器操作测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 主驾座椅加热低温测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 主驾座椅加热高温测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 主驾座椅通风低速测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 主驾座椅通风高速测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 副驾座椅加热低温测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 副驾座椅加热高温测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 副驾座椅通风低速测试 
警告：动作测试功能未编写 tip8 -- 0b42 <name> 副驾座椅通风高速测试 
警告：动作测试功能未编写 tip1 -- 0b43
警告：动作测试功能未编写 tip2 -- 0b43
警告：动作测试功能未编写 tip8 -- 0b43 <name> ECU解锁 
警告：动作测试功能未编写 tip8 -- 0b43 <name> 警告灯测试 
警告：动作测试功能未编写 tip1 -- 0b44
警告：动作测试功能未编写 tip2 -- 0b44
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅档位1控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅档位2控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅档位3控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅档位SET控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅档位SET1控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅档位SET2控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅档位SET3控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅通风高速档位控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅通风中速档位控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅通风低速档位控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅加热高速档位控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅加热中速档位控制 
警告：动作测试功能未编写 tip8 -- 0b44 <name> 座椅加热低速档位控制
